Startdato;Slutdato;Land;Sted = By / Landområde;Institution;Kategori;Event / Begivenhed;Event-beskrivelse;Personer;Kilde
10-02-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Le système d’expression du français moderne: Discussion (à suivre);;
24-02-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Suite de la discussion sur le système d’expression du français moderne;;
03-03-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Syllabe et accent;;
11-03-1949;;Danmark;København;Videnskabernes Selskab;F;Foredrag;Foreløbige undersøgelser til en sammenlignende sprogtypologi;;K138 - 255ff
17-05-1949;28-05-1949;Frankrig;Paris;;R (N??) ;;;Vendryes m.fl.;K50 - 44, 57, 55,63 (henvisning til Rask-oplæg i Oslo)
20-05-1949;;Frankrig;Paris;Université de Paris, Institut d'Études Scandinaves;F;Gæsteforelæsning;Commentaires sur la vie et l’oeuvre de Rasmus Rask;;K132 - 442
02-06-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Structure générale des corrélations linguistiques;;
06-10-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Problèmes syntaxiques considérés d’un point de vue structural;;
13-10-1949;;Danmark;København;Københavns Universitet;F;Forelæsning??;;;K138 - 391-93
17-10-1949;;Danmark;København;Engelsklærerforeningen;F;Foredrag;Sprogteoretisk litteraturvidenskab;;K134 - 263ff
03-11-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Sentence Analysis and Syntax;;
01-03-1950;31-03-1950;Sverige;Lund (er kun i Lund onsdag-fredag, K50-421;Lunds Universitet;F;Forelæsninger;;Kontaktperson: Alf Lombard;K50 - 390-435 (læg 3/50), uv.fri, tilladelse 409
08-03-1950;30-03-1950;Sverige;Lund;Lunds Universitet;U;Kursus i albansk;onsdage 16-18, torsdage 13-15;;K50 - 410
22-03-1950;;Sverige ;Lund;Kungliga humanistiska vetenskapssamfundet i Lund;F;Foredrag;De strukturelle synspunkter i lingvistikken;;K137 - 1ff
28-04-1950;;Danmark;København;Videnskabernes Selskab;F;Foredrag;Semantikens grundproblem;;K134 - 410
10-05-1950;;Danmark;København;Lingvistkredsen;F;Oplæg;The Problem of Case (devant la Commission glossématique);;
12-05-1950;22-05-1950;Skotland;Edinburgh;University of Edinburgh;F;Forelæsninger (3 lectures) (som i London 1946, K51 - 463);Structural Analysis of Language;Uldall med flere ;K51 - 448
1950-juli;;Sverige - Finland;;;R;;;;
18-07-1950;20-07-1950;Sverige;Stockholm;;Del af R;;;;K71 - 84
20-07-1950;21-07-1950;Sverige - Finland;Stockholm - Helsinki;;Del af R;Natbåd;;;
21-07-1950;22-07-1950;Finland;Helsinki;;Del af R;;;;
22-07-1950;31-07-1950;Finland;Koli Turiststation, Vuonislahti;;Del af R;;;;
o1-08.1950;03-08-1950;Finland;Helsinki;;Del af R;;;;
04-08-1950;06-08-1950;Finland;Åbo;;Del af R;;;;
02-08-1950;05-08-1950;Finland;Helsinki - Åbo;Det nionde nordiska filologmötet ;N;Deltagelse ;;;K71 - 6ff
03-08-1950;;Finland;Helsinki;Det nionde nordiska filologmötet ;F;Oplæg i sektionen for almen sprogvidenskab;Den finska stadieväxlingen som strukturlingvistiskt problem ;;skal publiceres i AL som ”L’alternance consonantique du finnois”
08-08-1950;;Danmark;København;;Del af R;;;;
19-09-1950;;Danmark;København;Lingvistkredsen;F;Oplæg;Rapport sur le IXe Congrès scandinave de philologie (Helsinki et Åbo 1950);;
24-09-1950;01-10-1950;Sverige;;;R;;;;K146 - 341 (ansøgning 230950), K46 - 510
25-09-1950;28-09-1950;Sverige;Stockholm, Uppsala;4. nordiske lingvistkonference , Nature Method ;N;Deltagelse;;;K146 - 376
26-09-1950;;Sverige;Uppsala;4. nordiske lingvistkonference , Nature Method ;F;Oplæg;Static and Evolutionary Aspects of Language;;K146 -326, 510 (FG2,40)
25??-03-1951;05-04-1951;Frankrig;;;R;;;;
25-03-1951;31-03-1951;Frankrig;Nice;Conférence européenne de sémantique ;N;;;;K71 -
22-05-1951;;Danmark;København;Lingvistkredsen;F;Oplæg;La déclinaison hongroise ;;
31-05-1951;06-06-1951;Frankrig;Paris;UNESCO;N;Møde om ;The Problem of Human Behavior As Revealed by Speech;K68 -365: Sommerfelt, Firth, Benveniste, Greenberg, Levi-Strauss, Vogt  ;K68 - 229-428
10-09-1951;13-09-1951;Belgien;Liège;Congrès international de philologie moderne ;N;;;;K50 - 448??
25-09-1951;;Danmark;København;Lingvistkredsen;F;Oplæg (sammen med C.A. Bodelsen);Rapport sur le Congrès international de philologie moderne,  Liège sept. 1951;;
03-05-1952;17-09-1952;USA;;;R;Rundtur;;;
03-05-1952;;Danmark;København;;Del af R;Afrejse;;;
13-05-1952;;USA;New York;;Del af R;Ankomst;;;K50 - 70-387
14-05-1952;;USA;New York;Columbia University;F;Lecture;;;
15-05-1952;;USA;Cambridge, Mass.;;Del af R;Ankomst;;;
15-05-1952;;USA;Cambridge, Mass.;;F;Oplæg;Rasmus Rask: His Scientific Achievements;;K50 - 204
17-05-1952;;USA;Cambridge, Mass.;Philological Club;N;Supper Meeting;;;
20-05-1952;;USA;Cambridge, Mass.;MIT;F;Foredrag + diskussion (eftermiddag);The contributions which linguistics can make to communications engineering;;
20-05-1952;;USA;Cambridge, Mass.;Harvard, Modern Language Center, Students Harvard Linguistics Club ;F;Spørgetime ledet af Robert B. Lees;;;K50 . 75ff
23-05-1952;;USA;New Haven Connecticut;Yale University;Del af R;Ankomst;;;
23-05-1952;25-05-1952;USA;New Haven Connecticut;Yale University;;????;;;
25-05-1952;;USA;New York;;Del af R;Ankomst;;;
26-05-1952;02-06-1952;USA;Minneapolis;;;Ophold;;bolig Steefel;K50, F189-192
27-05-1952;;USA;Minneapolis;University of Minnesota;F;Foredrag;Rasmus Rask (1787-1832) - Pioneer of Comparative Phonology;;K50 - 190
28-05-1952;;USA;Minneapolis;Linguistic Club;N;Dinner Meeting;;;
29-05-1952;;USA;Star Island, Cass Lake;;N;Udflugt;;;K50 - 246, 273, 194
02-06-1952- - ???;;USA;Chicago;;Del af R;;;bolig Otto Brendel;
03-06-1952;;USA;Chicago;;F;Seminar on Glossematics;Informal discussion on the glossematic approach for those directly interested in linguistics;;K50 - 201
04-06-1952;;USA;Chicago;;F;Public lecture on Rasmus Rask (for a more general audience);;Dinner with Napier Wilt;K50 - 232, 188
06-06-1952;;USA;Chicago;Chicago Linguistic Society;F;Informal discussion;Some Basic Assumptions of Glossematic Theory;;K50 - 183, 194
;;;countryside?? I kommende uge (brev til RJ 0706, K50 - 181);;;;;;
18-06-1952;15-08-1952;USA;Bloomington, Indiana University;Linguistic Society, Linguistic Institute;L;Visiting professor;;bolig: Otto J. Brendels lejlighed;K50 - 184, 247
23-06-1952;15-08-1952;USA;Bloomington, Indiana University;Linguistic Institute, Summer Session;U;Kursus;Albanian, tirs- & torsdage 10.30-12.20;;
23-06-1952;15-08-1952;USA;Bloomington, Indiana University;Linguistic Institute, Summer Session;U;Kursus;Structural Analysis of Language, ons- & fredage 10.30-12.20;;
23-06-1952;15-08-1952;USA;Bloomington, Indiana University;;N;Oversættelses-samarbejde med F.J. Whitfield;;Whitfield;K50 - brev til Martinet 051152
21-06-1952;;USA;Bloomington, Indiana University;Linguistic Institute, Summer Session;N;Reception;;;K50 - 168, 169
07-07-1952;;USA;Bloomington, Indiana University;Linguistic Institute;F;Forum Lecture;Rasmus Rask - A Pioneer of Structural Linguistics;;K50 - 162
1952-1707??;;USA;Oklahoma;Pike??;N??;;;;K50 - 161
21-07-1952;31-07-1952;USA;Bloomington, Indiana University;Conference of Anthropologists and Linguists at the Linguistic Institute;N;;;;K50 - 149-150
23-07-1952;;USA;Bloomington, Indiana University;Conference of Anthropologists and Linguists at the Linguistic Institute;N;Hjelmslev er Chairman med Voegelin som introducer;Dialect Distance and Culture History;;
26-07-1952;;USA;Bloomington, Indiana University;Linguistic Institute;N;Open House;;;K50 - 148
27-07-1952;;USA;Bloomington, Indiana University;;N;Middag hos Chao's;;Chao;K50 - 147
02-08-1952;;USA;Bloomington, Indiana University;Linguistic Institute;N;Picnic;;Chao, Hill, Hockett, Hoge, Householder, Valentin Kiparski, George S.  Lane, Sebeok, Henry Lee Smith, Twaddell, Voegelin, Teng, Velten, Whitehall, Max  Zorn. ;K50 - 135, 156
15-08-1952;;USA;Indianapolis;;Del af R;Ankomst;;;K20 -26
16-08-1952;;USA;Denver, Colorado;;Del af R;Ankomst;;;K20 - 23, 27, 28
;;;Yellowstone Park;;Del af R;;;;K20 - 27
1952-???? -;;USA;San Francisco, Berkely;;N;Oversættelses-samarbejde med F.J. Whitfield;;Whitfield;K20 - 27
10-09-1952;;USA;New York;;Del af R;Afgang;;;K20 - 27, K50 - 73, 129
17-09-1952;;Danmark;København;;Del af R;Ankomst;;;K50 - 74
11-11-1952;;Danmark;København;Lingvistkredsen;F;Oplæg;Rapport sur le 4e Conférence Internationale d’Anthropologie et de Linguistique, ;Bloomington, Indiana, 1952;
1953begyndelse;;Danmark;København;Studenterforeningen;F;Foredrag;islandske håndskrifter, se Mich.R., s.484;;
30-01-1953;;Danmark;København;Videnskabernes Selskab;F;Foredrag;Den internationale sprogvidenskabs nuværende stilling;;K47 - 158, 181
27-02-1953;;Danmark;København;Videnskabernes Selskab;F;Meddelelse;Principes de linguistique génétique;;K50 -  551
12-04-1953;15-04-1953;Danmark;Aarhus;;F;To forelæsninger;;;K21 - 349 (brev til Bergsland)
20-09-1953;??-10-1953;Sverige, Norge;;;R;;;;K46 - 355, K137 - 92
20-09-1953;;Danmark;København;;Del af R;Afrejse;;;
21-09-1953;;Sverige;Stockholm;;Del af R;Ankomst;;;K137 - 103
21-09-1953;;Sverige;Stockholm;Filosofiska Föreningen i Stockholm & Filologiska Föreningen, Stockholms Högskola;F;Foredrag;Nogle grundprincipper for lingvistisk analyse;;K137 - 97
22-09-1953;;Sverige;Uppsala;Filosofiska Föreningen, Uppsala;F;Foredrag;;;
25-09-1953;??-??-1953;Norge;Oslo;;R;;;;
26-09-1953;;Norge;Oslo;Oslo Universitet;F;Forelæsning;Sprogets grundstruktur belyst ved simple modeller;;K137 - 31, 37
28-09-1953;;Norge;Oslo;Oslo Universitet;F;Forelæsning;Sprogets grundstruktur belyst ved simple modeller;;K137 - 31, 37
28-09-1953;;Norge;Oslo;UNESCO Meeting;N;The Problem of Human Behavior As Revealed by Speech;;;K68 - 359
29-09-1953;;Norge;Oslo;Norsk forening for språkvitenskap ;F;Foredrag;Bidrag til læren om sproglige strukturtyper;;K137 - 20-62, 36
1953??;;;;;;;;;
08-10-1953;09?-10-1953;Sverige;Göteborg;;R;;;;K137 - 31
26-11-1953;;Danmark;København;Københavns Universitet;F;Tale ved universitetets årsfest;Sprogets indholdsform som samfundsfaktor;;
16-12-1953;19-12-1953;Frankrig;Paris;UNESCO Meeting;N;The Problem of Human Behavior As Revealed by Speech;;;K68 - 343
19-03-1954;;Norge;Oslo;Norsk Videnskaps-Akademi;L;Brev om valg LH til akademiet;;;K73 - 81
11-05-1954;;Danmark;København;Lingvistkredsen;F;Oplæg;Introduction à une discussion sur G. Bech : Studien über das deutsche verbum infinitivum;;
23-08-1954;28-08-1954;Danmark;København;The Second International Congress of Classical Studies. J.N. Madvig Congress;L;LH holder indledningstale 23.08. i stedet for rektor;;;K57 - 53ff
1954-??08;;Danmark;København;The Second International Congress of Classical Studies. J.N. Madvig Congress;F;Oplæg;Introduction à la discussion générale des problèmes rélatifs à la phonologie des langues mortes, en espèce du grec et du latin;;K65 - 316
01-11-1954;;Danmark;;;F;Foredrag;Menneskeracerne og sprogene II;;K65 - 70
16-11-1954;;Danmark;København;Lingvistkredsen;F;Oplæg;La classification des variantes et la description de la substance des catégories;;
23-11-1954;;Danmark;København;Lingvistkredsen;F;Oplæg;Discussion de La classification des variantes et la description de la substance des catégories;;
30-11-1954;- - 1954-08??12;Frankrig;;;R??;;;;K50 - 21/54, 436ff., 443 (program)
01-12-1954;04-12-1954;Frankrig;Strasbourg;;Del  af R;;;;
01-12-1954;;Frankrig;Strasbourg;;N;Møder;med Straka, Fourquet, Marcel Simon;Straka, Fourquet, Simon;K50 - 439
02-12-1954;;Frankrig;Strasbourg;Universitetet;N;Indvielse af dansk lektorat;;;K50 - 439, 472
03-12-1954;;Frankrig;Strasbourg;;F;Forelæsning;;;K50 - 439
03-12-1954;;Frankrig;Strasbourg;;??;;;;
04-12-1954;;Frankrig;Paris;Konference? (K50 - 472);??;;;;
05-12-1954;;Frankrig;Paris;Danske Ambassade;N;Møde med danske ambassadør;;;K50 - 455
07-12-1954;;Frankrig;Paris;For Nordisk Sprog- og Kulturforlag;N;Møde;Fernand Mossé;;K50 - 438
15-03-1955;;Danmark;København;Lingvistkredsen;F;Oplæg;Y a-t-il en latin un cas instrumental?;;
21-03-1955;22-03-1955;Sverige;Lund;;R;;;;K137 - 77
21-03-1955;22-03-1955;Sverige;Lund;Lunds Universitet;F;Forelæsninger;Det latinske kasussystem??;;K137 - 78
21-03-1955;;Sverige;Lund;Filosofiska Föreningen och Filologiska Sällskapet ;F;Foredrag;Nogle grundprincipper for lingvistisk analyse;;K137 - 63ff.
22-03-1955;;Danmark;København;Lingvistkredsen;F;Oplæg;LH ouvre une discussion sur le contenu sémantique du genre grammatical;;
03-05-1955;;Danmark;København;Lingvistkredsen;F;Oplæg;LH présente son ouvrage : Stratification du langage;;
31-05-1955;;Danmark;København;Lingvistkredsen;F;Oplæg;qui et que en français;;
20-06-1955;23-06-1955;Norge;Oslo;;R;;;;K46 - 376
21-06-1955;22-06-1955;Norge;Oslo;CIPL;N;;;Belic, Benveniste, Deeters, Hjelmslev, Michaëlsson, Mohrmann, Norman, Pop,Sommerfelt, Vogt, Whatmough;K46 - 261
20-11-1955;??-12-1955;England, Frankrig;;;R;;;F50 - 498 - liste over navne;K50 - 504 RØ-bevilling
20-11-1955;26-11-1955;England;London;;Del af R;;;;K68 - …, K50 - 530. K50 - 541 (bortrejse: Unesco, lektorat), 543 grundig ansøgning
21-11-1955;25-11-1955;England;London;UNESCO;N;The Problem of Human Behavior As Revealed by Speech;Møde;Sommerfelt, J.P. Firth, R. Firth, Hoijer, Vogt (afbud fra Benveniste, Levi-Strauss;K68 - 253, 261
23-11-1955;;England;London;Møde med Firth;N;Om 'lingua latina' (naturmetoden) i England;;Firth;K50 - 520
26-11-1955;;England;Oxford;Møde med Palmer;N;Om 'lingua latina' (naturmetoden) i England;;Palmer;K50 - 520
26-11-1955;03-12-1955;Frankrig;Paris;Møder med ???;N;;;;K50 - 542
03-12-1955;10??-12-1955;Frankrig;Strasbourg;Møder med Imbs, Straka, Fourquet;N;;;;K69 - 203
22-05-1956;02-06-1956;Frankrig;;;R;;;;K69 - 225
22-05-1956;25-05-1956;Frankrig;Paris;Møder med ???;N;;;;K69 - 225
25-05-1956;28-05-1956;Frankrig;Strasbourg;Kollokvium og møder med ??;N;;;;K69 - 225
28-05-1956;;Frankrig;Strasbourg;Colloque de linguistique structurale;F;Oplæg;L'idée structuralise en linguistique;;K69 - 209
28-05-1956;02-06-1956;Frankrig;Paris;Møder med ???;N;;;;K69 - 209
08-08-1956;14-08-1956;Danmark;København;Thirty-Second International Congress of Americanists;N;Deltagelse;;;K69 - 167, 189
09-08-1956;;Danmark;København;Thirty-Second International Congress of Americanists;F;Oplæg;Essai d'une critique de la méthode dite glotto-chronologie ;;K69 - 189
18-09-1956;;Danmark;København;Lingvistkredsen;F;Studies in the Structure of the Junction;;;
02-11-1956;;Danmark;København;Videnskabernes Selskab;F;Sur l’indépendance de l’épithète;;;K144 - 779
20-11-1956;;Danmark;København;Lingvistkredsen;F;Rapport sur le 32e Congrès d’Américanistique ;;;
12-02-1957;;Danmark;København;Sommeruniversitetet;F;Helhed og struktur i sprogvidenskaben;;;K137 - 129
15-02-1957;;Danmark;København;Videnskabernes Selskab;F;Meddelelse;Etudes ougriennes. 1. Thème et suffixation. II. La système de l'expression.;;
26-03-1957;;Danmark;København;Lingvistkredsen;F;Oplæg;On Unit-Accentuation;;
06-05-1957;13-05-1957;Frankrig;;;R;;;;
06-05-1957;10-05-1957;Frankrig;Paris;;Del af R /N;Møder med (program K52-7) Martinet, Fourquet, Vendryes, Fenger, Cohen, Hoder, Arthur Jensen??;;;K52 - 25ff.
10-05-1957;13-05-1957;Frankrig;Caen;;Del af R / N;Møder med Frédéric Durand, Børge Olesen ;;;K52 - 3, 15-19
1957 August;;Norge;Oslo;;R;;;;
05-08-1957;09-08-1957;Norge;Oslo;8th International Congress of Linguists ;N;Deltagelse;;;K46 - 379ff
1957 - 0508 (+ 0809?);;Norge;Oslo;8th International Congress of Linguists ;N;CIPL-møde;;;K46 - 256, 254, 255 deltagere?, 356
08-08-1957;;Norge;Oslo;8th International Congress of Linguists ;F;Oplæg som rapporteur;Dans quelle mesure les significations des mots peuvent-elles être considerées comme formant une structure?;;
1957-;;Norge;Oslo;8th International Congress of Linguists ;N;Conseil Int. AL, Indogerm. Gesellschaft;;;
;;;;;;;;;
15-10-1957;;Danmark;København;Lingvistkredsen;F;Oplæg;Le principe saussurien du caractère linéaire du signifiant;;
17-12-1957;;Danmark;København;Lingvistkredsen;F;Oplæg;Conférence officielle à l’occasion du centenaire de Ferdinand de Saussure, par LH;;K65 - 373
18-02-1958;;Danmark;København;Lingvistkredsen;F;Oplæg;Rapport sur le 8e Congrès international de linguistes, Oslo 1957 (avec Eli Fischer-Jørgensen);;
18-02-1958;;Danmark;København;Lingvistkredsen;F;Oplæg;LH présente l’ouvrage de L. Hjelmslev et de H.J. Uldall: An Outline of Glossematics, vol. I, H.J. Uldall: General Theory;;
23-04-1958;;Danmark;København;Nordisk Sommeruniversitet;F;Foredrag;Udviklngstanken i lingvistikken;;K68-432
30-04-1958;;Danmark;København;Nordisk Sommeruniversitet;F;Foredrag;Lydudvikling og lydvariation;;K68-432
01-12-1958;04-12-1958;Finland;Helsinki;;R;;;;K45 - 394
02-12-1958;;Finland;Helsinki;Société finno-ougriènne. 75e anniversaire ;N;Jubilæumshilsner fra Videnskabernes Selskab og Lingvistkredsen, taler holdt på finsk;;;K45 - 366ff.
03-12-1958;;Finland;Helsinki;Congrès Finno-Ougrien;N;Deltagelse;;;K45 - 390
09-12-1958;;Danmark;København;Lingvistkredsen;F;Oplæg;Rapport sur le 75e anniversaire de la Société Finno-Ougrienne et du Congrès Finno-Ougrien tenus à Helsinki en décembre 1958;;
09-12-1958;;Danmark;København;Lingvistkredsen;F;Oplæg;Considérations sur la standardisation internationale de la notion phonétique;;
18-10-1959;29-11-1959;Italien;;;Rejse;;;;
18-10-1959;02-11-1959;Italien;Rom;;Del af R;;;;
19-10-1959;23-10-1959;Italien;Rom;Conventus Romanus. 5. lingvistkongres;N;Deltagelse;;;
21-10-1959;;Italien;Rom;Conventus Romanus. 5. lingvistkongres;F;Oplæg;Commutation et substitution de principe constitutif du mécanisme de la langue ;;K65
29-10-1959;;Italien;Rom;Biblioteca Apostolica Vaticana;L;;;;K52 - 192
;;;;;;;;;
02-11-1959;06-11-1959;Italien;Napoli;;Del af R;;;;K52 - 202
06-11-1959;09-11-1959;Italien;Sorrento;;Del af R;;;;K52 - 172, 173
;;;;;;;;;
15-11-1959;18-11-1959;Italien;Castrovillari;;Del af R;;;;K52 - 146
18-11-1959;19-11-1959;Italien;Cosenza;;Del af R;;;;K52 - 148
19-11-1959;24-11-1959;Italien;Palermo;;Del af R;;;;K52 - 153, 159
24-11-1959;26-11-1959;Italien;Siracusa;;Del af R;;;;K52 - 159
26-11-1959;29-11-1959;Italien;Rom;;Del af R;;;;K52 - 159
10-03-1960;11-03-1960;Sverige;Lund;;R;;;;
10-03-1960;;Sverige;Lund;Filologiska Sällskapet;F;Foredrag;Talordene. Bidrag til en almen og sammenlignende lexikalsk og grammatiks beskrivelse;;K138 - 308ff.
12-04-1960;;Danmark;København;Lingvistkredsen;F;Oplæg;Une nouvelle interprétation des différents temps du subjonctif dans certaines langues (Exemples principaux : latin classique et allemand normal);;
01-05-1960;11-05-1960;Frankrig;;;R;;;;K52 - 218ff
01-05-1960;07-05-1960;Frankrig;Nancy;Centre européen universitaire (CEU);N;;;;K 52 - 246
02-05-1960;03-05-1960;Frankrig;Nancy;Centre européen universitaire (CEU);F;Forelæsning (første 2 af 4);Conditions sociales et politiques des langues dans les pays du nord ;;K52 - 246, K147 - 1f., 17ff
04-05-1960;;Frankrig;Nancy;Centre européen universitaire (CEU);N;Følge lingvistiktime på CEU;;;K52 - 246
04-05-1960;;Frankrig;Nancy;Centre européen universitaire (CEU);F;Foredrag for danskstuderende;Genus;;K52 - 246
05-05-1960;06-05-1960;Frankrig;Nancy;Centre européen universitaire (CEU);F;Forelæsning 3-4 ;Conditions sociales et politiques des langues dans les pays du nord ;;K52 - 246, K147 - 1f., 17ff
07-05-1960;11-05-1960;Frankrig;Paris;;Del af R;;;Mødes nok med Henning Fenger, Maurice Gravier, Benveniste, Mme. Vendryes (K52 - 235 (oplæg på Sorbonne, skandinavisk), 241, 244-45);
24-08-1960;ca. 15-09-1960;USA;Californien;;R;;;;K49 - 1, 32
24-08-1960;02-09-1960;USA;Stanford University, Stanford;International Congress for logic, methodology and philosophy of science;N;Deltagelse;;;K49 - 1, 32
1960-??;;USA;Stanford University, Stanford;International Congress for logic, methodology and philosophy of science;F;Oplæg;Methodological Prerequisites of structural Linguistics;;K65
17-11-1960;09-12-1960;England, Frankrig;;;R;;;;K50 - 569ff, 592 (flybillet), 604, 633
17-11-1960;22-11-1960;England;London;;Del af R;;;;K50 - 575
22-11-1960;25-11-1960;England;Cambridge;c/o Elias Bredsdorff;Del af R;;;;K50 - 600, 723
24-11-1960;;England;Cambridge;;F;Foredrag;Accent, Vowel Harmony, and Syllable, an Example of Linguistic Typology ;W.S. Allen, Chadwick;K138 - 253
25-11-1960;29-11-1960;Frankrig;Caen;;Del af R;;;;
29-11-1960;;Frankrig;Caen;;F;Foredrag;Le genre grammatical du français et du danois;Frédéric Durand;K50 - 682. 684
29-11-1960;04-12-1960;Frankrig;Paris;;Del af R;;;;
02-12-1960;;Frankrig;Paris;Sorbonne, Institut scandinavique eller de inguistique;F;Forelæsning;Le genre grammatical du français et du danois;Gravier;K50 - 633, 677
03-12-1960;;Frankrig;Paris;Société de Linguistique de Paris;F;Foredrag;Les mutations linguistiques, essai de synthèse et de mise au point;;K50 - 633, 690
04-12-1960;06-12-1960;Frankrig;Nancy;;Del af R;;;;
04-12-1960;;Frankrig;Nancy;;F;Foredrag;Les degrés de comparaison;;
06-12-1960;09-12-1960;Frankrig;Strasbourg;;Del af R;;;Straka;K50 - 582
08-12-1960;;Frankrig;Strasbourg;;F;;Le genre grammatical du français et du danois;Marcel Simon;K50 - 583
19-01-1961;02-03-1961;USA;;;R;;;;
20-01-1961;17-02-1961;USA;Austin, Texas;University of Texas;F;6 forelæsninger: 3101, 0202, 0702, 0902, 1402, 1602? Discussions: 0102, 0802, 1502;Glossematics and Contemporary Linguistic Theory;Lehmann …;K52 - 269, 276-351, 365
;;USA;Austin, Texas;Linguistics Club, Austin ;F;Foredrag;;;K52 - 354
17-02-1961;20-02-1961;USA;New Orleans;;F;;Accent, Vowel Harmony and Syllable: an Example of Linguistic Typology;;K52 - 481
20-02-1961;24-02-1961;USA;Chapel Hill;;Del af R;;;;
21-02-1961;23-02-1961;USA;Chapel Hill;The University of North Carolina;F;Forelæsninger: 2102, 2302;Accent, Vowel Harmony and Syllable: an Example of Linguistic Typology;Lane;K52 - 372
24-02-1961;28-02-1961;USA;Washington D.C.;;Del af R;;;Robert Lado;K52 - 464
1961-??02;;USA;Washington D.C.;;F;Foredrag;;;
28-02-1961;02??-03-1961;USA;New York;;Del af R;;;;K52 - 452
06-05-1962;1005/1405-1962;Italien;Venezia;;R;;;;K52 - 83, 84, 89, 90
28-11-1962;04-12-1962;Italien;Firenze, Pisa;;Del af R;;;;K52 - 52, 56
28-11-1962;;Italien;Firenze;Università di Firenze;F;Forelæsning;Les degrés de comparaison;;K52 - 56
29-11-1962;;Italien;Firenze;Università di Firenze;F;Forelæsning;Le genre grammatical;;K52 - 56
30-11-1962;;Italien;Firenze;Circolo linguistico fiorentino;F;Foredrag;Syllabe, accent et harmonie ;;K52 - 56
30-11-1962;01-12-1962;Italien;Pisa;;Del af R;;;Bolelli;K52 - 56
01-12-1962;;Italien;Pisa;l’Institut de linguistique ;N;Séminaire;;;K52 - 56
11-05-1963;;Danmark;København;Dansk selskab for oldtids- og middelalderforskning;F;Foredrag;Det etruskiske problem;;K138 - 563
30-05-1965;;Danmark;København;;L;Hjelmslev dør;;;